Editorial,ISSN,eISSN,Título,Tipo,Descuento,Promotor
Cambridge,0003-0554,1537-5943,American Political Science Review,Híbrida,100,Biblioteca US
Cambridge,0003-1615,1533-6247,Americas,Híbrida,100,Biblioteca US
Cambridge,0066-1546,2048-0849,Anatolian Studies,Híbrida,100,Biblioteca US
Cambridge,0956-5361,1469-1787,Ancient Mesoamerica,Híbrida,100,Biblioteca US
Cambridge,0263-6751,1474-0532,Anglo-Saxon England,Sólo Open Access,100,Biblioteca US
Cambridge,1466-2523,1475-2654,Animal Health Research Reviews,Sólo Open Access,100,Biblioteca US
Cambridge,0962-7286,2054-1538,Animal Welfare,Sólo Open Access,100,Biblioteca US
Cambridge,1748-4995,1748-5002,Annals of Actuarial Science,Híbrida,100,Biblioteca US
Cambridge,0260-3055,1727-5644,Annals of Glaciology,Sólo Open Access,100,Biblioteca US
Cambridge,0068-2454,2045-2403,Annual of the British School at Athens,Híbrida,100,Biblioteca US
Cambridge,0267-1905,1471-6356,Annual Review of Applied Linguistics,Híbrida,100,Biblioteca US
Cambridge,0954-1020,1365-2079,Antarctic Science,Híbrida,100,Biblioteca US
Cambridge,0066-4774,2056-8819,Antichthon,Híbrida,100,Biblioteca US
Cambridge,,2732-494X,Antimicrobial Stewardship & Healthcare Epidemiology,Sólo Open Access,100,Biblioteca US
Cambridge,0003-5815,1758-5309,Antiquaries Journal,Híbrida,100,Biblioteca US
Cambridge,0003-598X,1745-1744,Antiquity,Híbrida,100,Biblioteca US
Cambridge,1446-1811,1446-8735,ANZIAM Journal,Híbrida,100,Biblioteca US
Cambridge,0142-7164,1469-1817,Applied Psycholinguistics,Híbrida,100,Biblioteca US
Cambridge,0957-4239,1474-0524,Arabic Sciences and Philosophy,Híbrida,100,Biblioteca US
Cambridge,1380-2038,1478-2294,Archaeological Dialogues,Sólo Open Access,100,Biblioteca US
Cambridge,0570-6084,2041-4102,Archaeological Reports,Híbrida,100,Biblioteca US
Cambridge,0066-622X,2059-5670,Architectural History,Híbrida,100,Biblioteca US
Cambridge,1359-1355,1474-0516,arq: Architectural Research Quarterly,Híbrida,100,Biblioteca US
Cambridge,0307-4722,2059-7525,Art Libraries Journal,Híbrida,100,Biblioteca US
Cambridge,2194-6078,1932-0205,Asian Journal of Comparative Law,Híbrida,100,Biblioteca US
Cambridge,2044-2513,2044-2521,Asian Journal of International Law,Híbrida,100,Biblioteca US
Cambridge,2052-9015,2052-9023,Asian Journal of Law and Society,Híbrida,100,Biblioteca US
Cambridge,0515-0361,1783-1350,ASTIN Bulletin: The Journal of the IAA,Híbrida,100,Biblioteca US
Cambridge,2515-0731,2515-074X,Australasian Journal of Special and Inclusive Education,Sólo Open Access,100,Biblioteca US
Cambridge,0814-0626,2049-775X,Australian Journal of Environmental Education,Sólo Open Access,100,Biblioteca US
Cambridge,0067-2378,1558-5255,Austrian History Yearbook ,Híbrida,100,Biblioteca US
Cambridge,1352-4658,1469-1833,Behavioural and Cognitive Psychotherapy,Híbrida,100,Biblioteca US
Cambridge,2398-063X,2398-0648,Behavioural Public Policy,Sólo Open Access,100,Biblioteca US
Cambridge,1366-7289,1469-1841,Bilingualism: Language and Cognition,Híbrida,100,Biblioteca US
Cambridge,,2633-903X,Biological Imaging,Sólo Open Access,100,Biblioteca US
Cambridge,0959-2709,1474-0001,Bird Conservation International,Híbrida,100,Biblioteca US
Cambridge,2058-850X,2056-354X,BJHS Themes,Sólo Open Access,100,Biblioteca US
Cambridge,2056-4678,2056-4686,BJPsych Advances,Híbrida,100,Biblioteca US
Cambridge,,2056-4724,BJPsych Open,Sólo Open Access,100,Biblioteca US
Cambridge,0068-113X,1753-5352,Britannia,Híbrida,100,Biblioteca US
Cambridge,2055-7973,2055-7981,British Catholic History,Híbrida,100,Biblioteca US
Cambridge,0007-0874,1474-001X,British Journal for the History of Science,Híbrida,100,Biblioteca US
Cambridge,0265-0517,1469-2104,British Journal of Music Education,Híbrida,100,Biblioteca US
Cambridge,0007-1145,1475-2662,British Journal of Nutrition,Híbrida,100,Biblioteca US
Cambridge,0007-1234,1469-2112,British Journal of Political Science,Híbrida,100,Biblioteca US
Cambridge,0007-1250,1472-1465,British Journal of Psychiatry,Híbrida,100,Biblioteca US
Cambridge,0007-4853,1475-2670,Bulletin of Entomological Research,Híbrida,100,Biblioteca US
Cambridge,1079-8986,1943-5894,Bulletin of Symbolic Logic,Híbrida,100,Biblioteca US
Cambridge,0004-9727,1755-1633,Bulletin of the Australian Mathematical Society,Híbrida,100,Biblioteca US
Cambridge,0041-977X,1474-0699,Bulletin of the School of Oriental and African Studies,Híbrida,100,Biblioteca US
Cambridge,2057-0198,2057-0201,Business and Human Rights Journal,Sólo Open Access,100,Biblioteca US
Cambridge,,1469-3569,Business and Politics,Híbrida,100,Biblioteca US
Cambridge,1052-150X,2153-3326,Business Ethics Quarterly,Híbrida,100,Biblioteca US
Cambridge,0007-6805,2044-768X,Business History Review,Híbrida,100,Biblioteca US
Cambridge,0307-0131,1749-625X,Byzantine and Modern Greek Studies,Híbrida,100,Biblioteca US
Cambridge,0959-7743,1474-0540,Cambridge Archaeological Journal,Híbrida,100,Biblioteca US
Cambridge,1750-2705,2047-993X,Cambridge Classical Journal,Híbrida,100,Biblioteca US
Cambridge,2052-2614,2052-2622,Cambridge Journal of Postcolonial Literary Inquiry,Sólo Open Access,100,Biblioteca US
Cambridge,0008-1973,1469-2139,Cambridge Law Journal,Híbrida,100,Biblioteca US
Cambridge,0954-5867,1474-0621,Cambridge Opera Journal,Híbrida,100,Biblioteca US
Cambridge,,2754-7205,Cambridge Prisms: Coastal Futures,Sólo Open Access,100,Biblioteca US
Cambridge,,2976-5293,Cambridge Prisms: Drylands,Sólo Open Access,100,Biblioteca US
Cambridge,,2755-0958,Cambridge Prisms: Extinction,Sólo Open Access,100,Biblioteca US
Cambridge,,2054-4251,Cambridge Prisms: Global Mental Health,Sólo Open Access,100,Biblioteca US
Cambridge,,2755-094X,Cambridge Prisms: Plastics,Sólo Open Access,100,Biblioteca US
